,C3L-01637-02,C3L-03123-02,C3L-03356-02,C3L-03743-01,C3N-00302-02,C3N-01167-01,C3N-02754-01-3,C3N-02998-03,C3L-01453-03,C3L-03348-03,C3L-03348-03-2,C3N-03000-02
ENSG00000003436.16,6163,4358,6742,11681,3792,6128,3399,5730,3295,7828,4442,3483
ENSG00000003509.16,937,678,915,893,797,1193,702,938,909,924,821,1043
ENSG00000003756.17,5549,4597,4489,3586,4206,5790,4313,5854,4415,5584,4557,5598
ENSG00000003987.14,264,84,248,325,195,247,491,226,283,467,216,168
ENSG00000003989.18,2628,1032,1549,2704,1495,2016,6910,1249,1025,4850,3112,1538
ENSG00000004059.11,2279,869,1235,932,933,3901,1292,1101,1004,1431,1031,1115
ENSG00000004139.14,480,146,400,301,418,476,362,271,362,468,391,297
ENSG00000004142.12,2494,1548,1678,1832,1620,2747,1394,1542,1419,2135,1567,1552
ENSG00000004399.13,3130,2112,3335,3839,9963,2939,3420,3891,3615,5518,4067,3559
ENSG00000004455.17,5633,4816,4775,4475,9887,8157,3521,5267,4272,5116,3471,3858
ENSG00000004468.13,493,1515,417,235,297,409,715,1447,530,490,365,60
ENSG00000004478.8,4493,2030,1822,2376,2162,6286,1465,2204,2038,3467,2415,2258
ENSG00000004487.17,4111,2669,3720,6170,2792,4731,2337,2983,4345,4053,3158,5156
ENSG00000004534.15,5835,5010,4216,4282,3855,6318,4602,6452,4286,4534,3589,5080
ENSG00000004660.15,387,210,400,418,284,598,550,314,332,523,411,249
ENSG00000004700.16,2678,1941,2127,3807,2098,2384,1671,2336,2240,3897,3157,3655
ENSG00000004766.17,3049,1332,2268,2294,1908,3578,1856,2308,1572,2776,1809,2305
ENSG00000004776.13,15,3,28,24,112,84,92,58,69,74,80,7
ENSG00000004777.18,107,75,110,48,221,187,178,81,88,240,213,99
ENSG00000004779.10,1571,916,880,1265,543,2956,757,1120,1124,1135,807,934
ENSG00000004799.8,7555,341,5722,2564,1611,3347,9264,8446,8290,8080,3911,590
ENSG00000004809.14,14,19,12,5,16,22,22,8,32,12,8,9
ENSG00000004838.14,36,35,30,17,86,38,42,23,29,56,53,42
ENSG00000004846.16,37,2,34,61,26,13,27,104,30,45,45,35
ENSG00000004848.8,51,3,51,29,13,79,72,0,19,192,89,0
ENSG00000004864.14,3400,1168,1511,2488,1514,4674,1394,1662,3565,2087,1606,1794
ENSG00000004866.22,932,344,774,919,724,1417,625,647,532,956,574,952
ENSG00000004897.12,3857,3543,3963,4483,4373,3698,3041,4197,3821,4696,3061,4381
ENSG00000004939.15,10,0,2,6,8,4,3,9,3,12,3,7
ENSG00000004948.16,30,18,13,48,11,51,30,31,49,32,14,31
ENSG00000004961.15,807,397,626,487,616,1187,321,532,477,491,306,386
ENSG00000004975.12,844,705,808,786,818,1015,717,919,700,964,807,918
ENSG00000005001.10,2188,539,1523,1275,478,2112,389,289,501,475,408,825
ENSG00000005007.13,3482,1448,3053,2353,2954,5682,2343,2364,2428,3887,2936,2699
ENSG00000005020.13,4321,2398,3712,4020,3133,4819,2762,4500,3944,3848,2826,3262
ENSG00000005022.6,9077,3181,4191,5171,3894,11156,2803,4289,3746,3413,2069,3148
ENSG00000005059.16,1154,666,883,697,892,649,632,1403,1169,831,651,886
ENSG00000005073.6,0,10,28,66,87,91,4,27,42,18,16,40
ENSG00000005075.15,1104,310,423,622,495,1039,297,411,390,531,330,465
ENSG00000005100.13,675,580,621,626,809,686,573,1037,485,973,665,851
ENSG00000005102.14,340,99,595,975,69,526,460,382,234,448,352,58
ENSG00000005108.16,968,401,1412,1415,1312,651,1459,948,941,2975,1455,2240
ENSG00000005156.12,1975,1486,1803,1853,1809,2485,1114,1341,1553,1518,1024,1391
ENSG00000005175.10,1144,804,1210,1488,1452,1700,1062,1269,1058,1501,975,1197
ENSG00000005187.12,1643,359,582,232,442,1405,917,380,272,2486,1364,165
ENSG00000005189.20,204,241,269,120,234,426,192,234,109,212,150,125
ENSG00000005194.15,1324,901,796,1441,596,2158,827,1077,984,1173,1071,1093
ENSG00000005206.17,1118,404,865,664,715,1887,891,631,778,915,834,448
ENSG00000005238.20,1244,1086,948,1422,740,2885,677,663,795,672,532,826
ENSG00000005243.10,598,242,559,833,379,608,535,709,1309,653,705,957
ENSG00000005249.13,411,235,440,288,548,318,651,3185,240,1100,543,321
ENSG00000005302.19,1295,1274,1618,1267,1080,2162,1055,2098,1252,1466,1058,1422
ENSG00000005339.15,2990,2537,3601,3345,3716,4936,3576,3695,2895,6163,3833,4179
