sample,condition
C3L-00599-01,Control
C3L-00622-01,Control
C3L-00625-03,Control
C3L-00928-03,Control
C3L-01031-01,Control
C3L-01036-01,Control
C3L-01037-01,Control
C3L-01054-04,Control
C3L-01124-01,Control
C3L-01453-03,Control
C3L-01637-02,Control
C3L-01703-02,Control
C3L-02116-03,Control
C3L-02613-02,Control
C3L-02890-02,Control
C3L-02956-01-2,Control
C3L-03622-02,Control
C3L-03629-02-2,Control
C3L-03632-03,Control
C3L-03639-03,Control
C3L-03743-01,Control
C3L-04080-02,Control
C3L-04848-03,Control
C3N-00303-01,Control
C3N-00514-01,Control
C3N-00516-02,Control
C3N-00518-01,Control
C3N-01165-03,Control
C3N-01166-02,Control
C3N-01167-01,Control
C3N-01380-01,Control
C3N-01385-02-3,Control
C3N-01502-01,Control
C3N-01899-02,Control
C3N-01997-03,Control
C3N-01998-03,Control
C3N-02295-04,Control
C3N-02573-01,Control
C3N-02592-01,Control
C3N-02696-02-2,Control
C3N-02754-01-3,Control
C3N-02768-02,Control
C3N-02930-01-3,Control
C3N-02998-03,Control
C3N-03069-01,Control
C3N-03211-02,Control
C3N-03428-02,Control
C3N-03666-01,Control
C3N-03780-01,Control
C3N-03839-05,Control
C3N-03853-02,Control
C3N-04126-02,Control
C3N-04282-01,Control
C3L-01971-02,Treatment
C3L-02606-02,Treatment
C3L-03123-02,Treatment
C3N-02696-02,Treatment
C3N-04284-01,Treatment
