sample,condition
C3L-00017-02,Control
C3L-00598-02,Control
C3L-00881-71,Control
C3L-01160-01,Control
C3L-01598-02,Control
C3L-02115-02,Control
C3L-02613-02,Control
C3L-02956-01,Control
C3L-04072-01,Control
C3L-04080-02,Control
C3L-04853-01,Control
C3N-00513-03,Control
C3N-01166-02,Control
C3N-01719-04,Control
C3N-02590-01,Control
C3N-02696-02,Control
C3N-02930-01,Control
C3N-02998-03,Control
C3N-03426-01,Control
C3N-04119-02,Control
C3L-00102-01,Treatment
C3L-00189-02,Treatment
C3L-00401-02,Treatment
C3L-00599-01,Treatment
C3L-01031-01,Treatment
C3L-01036-01,Treatment
C3L-01037-01,Treatment
C3L-01039-03-2,Treatment
C3L-01039-03-3,Treatment
C3L-01053-01,Treatment
C3L-01453-03,Treatment
C3L-01662-03,Treatment
C3L-01687-03,Treatment
C3L-02112-02,Treatment
C3L-02463-02,Treatment
C3L-02606-02,Treatment
C3L-02610-03,Treatment
C3L-02701-02,Treatment
C3L-02899-01,Treatment
C3L-03123-02,Treatment
C3L-03356-02,Treatment
C3L-03628-02,Treatment
C3L-03629-02-2,Treatment
C3L-03635-01,Treatment
C3L-03639-03,Treatment
C3L-04479-02,Treatment
C3L-04495-03,Treatment
C3L-04848-03,Treatment
C3N-00198-02,Treatment
C3N-00302-02,Treatment
C3N-00303-01,Treatment
C3N-00511-03,Treatment
C3N-00518-01,Treatment
C3N-01167-01,Treatment
C3N-01380-01,Treatment
C3N-01381-02,Treatment
C3N-01385-02-3,Treatment
C3N-01716-03,Treatment
C3N-01897-01,Treatment
C3N-01899-02-2,Treatment
C3N-01997-03,Treatment
C3N-01998-03,Treatment
C3N-02010-03,Treatment
C3N-02295-04,Treatment
C3N-02573-01,Treatment
C3N-02592-01,Treatment
C3N-02765-02,Treatment
C3N-02944-01,Treatment
C3N-02971-01,Treatment
C3N-02997-01,Treatment
C3N-03190-01,Treatment
C3N-03211-02,Treatment
C3N-03430-02,Treatment
C3N-03665-01,Treatment
C3N-03754-01,Treatment
C3N-03840-02,Treatment
C3N-04283-03,Treatment
C3N-04284-01,Treatment
