sample,condition
C3L-00102-01,Control
C3L-00622-01,Control
C3L-00640-01,Control
C3L-01031-01,Control
C3L-01053-01,Control
C3L-01453-03,Control
C3L-02115-02,Control
C3L-02116-03,Control
C3L-02604-01,Control
C3L-03123-02,Control
C3L-03632-03,Control
C3L-04479-02,Control
C3L-04495-03,Control
C3N-01716-03,Control
C3N-01899-02-2,Control
C3N-01997-03,Control
C3N-02589-01,Control
C3N-02765-02,Control
C3N-02944-01,Control
C3N-02996-02,Control
C3N-03000-02,Control
C3N-03061-01,Control
C3N-03069-01,Control
C3N-03840-02,Control
C3N-03853-02,Control
C3N-04126-02,Control
C3N-04282-01,Control
C3N-04284-01,Control
C3L-02606-02,Treatment
C3N-00198-02,Treatment
C3N-03426-01,Treatment
