File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
911e4ef8-5e63-4a56-9d40-cf808acf7b91	c5354146-13df-4ca6-a266-e985fdf2f192.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-01036	C3L-01036-01	Primary Tumor
46349150-82b3-40df-aec6-c3349a80f9b8	1bb44b6d-e604-4954-97e1-cdcfb6d05cd5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-04495, C3L-04495, C3L-04495	C3L-04495-03, C3L-04495-01, C3L-04495-02	Primary Tumor, Primary Tumor, Primary Tumor
8439ac98-2052-42b1-9134-faf7dd1b8759	fa0a429e-a6c3-4bfd-ac08-563b166e174e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-01971	C3L-01971-02	Primary Tumor
c5b94302-c7e1-4eb4-858d-52b41971787c	e605c7c0-67d0-444d-aec5-237a6a0594b9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-01383, C3N-01383	C3N-01383-03, C3N-01383-01	Primary Tumor, Primary Tumor
6d6eb1d6-beb5-42d0-9382-77bb5deb1c01	805c05cf-3170-45cf-9cc1-7672cd281e01.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-03069	C3N-03069-03	Solid Tissue Normal
f1d63a2e-ce15-43e4-b1e4-b519ea6ab850	9daa12a8-2b13-4401-9f60-9738260ff438.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-03743	C3L-03743-04	Solid Tissue Normal
228c4226-5206-42b8-aa44-2cc817d0a818	27bf0c1e-d087-49fe-8137-c8c733090d3a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-00622	C3L-00622-04	Solid Tissue Normal
1ed26c4c-1637-4bcd-993d-7e887ac34f71	9186da22-39d5-4113-bca1-02eae0f8b0d9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-01997, C3N-01997	C3N-01997-03, C3N-01997-02	Primary Tumor, Primary Tumor
788554f6-c1cd-49ae-9224-456897a5f4f5	8bf1fa7b-b71f-40b9-8841-cb2e6061ce54.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-04119	C3N-04119-02	Primary Tumor
e3d16a9e-974c-4fca-a4a2-6837493e33e9	19d4dcb4-9491-49d5-901f-a0830a99d4f7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-02809	C3L-02809-06	Solid Tissue Normal
28b416d6-b731-488f-b961-b3ed6c0ce035	15f47711-9168-4f5d-b2ab-110b32747071.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-00589, C3L-00589	C3L-00589-01, C3L-00589-02	Primary Tumor, Primary Tumor
3b369a52-f04c-483c-b80b-529a130a1b7a	276223b0-8c8c-444a-a721-3ef8b9d9b9e6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-00881, C3L-00881	C3L-00881-71, C3L-00881-73	Primary Tumor, Primary Tumor
860cbad7-ce36-4dcf-a772-0e46d13b3015	eb86db8f-1b68-4c90-9af2-f2eb7152d32f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-02604	C3L-02604-01	Primary Tumor
21bad3a0-c28c-4322-89ae-f209e498a7c4	aa274968-d69e-4e77-aae9-fee9c28a1b5b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-00102	C3L-00102-06	Solid Tissue Normal
b6d851e1-ce1e-4653-89e6-63cd79be6775	c82e7794-6b1d-4957-85c9-4ade1856a41f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-02606	C3L-02606-04	Solid Tissue Normal
a5e00464-bd88-46c0-8150-6912bf8c6a06	299b7166-e3fb-4c2a-b398-b83d759fec76.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-03635, C3L-03635	C3L-03635-01, C3L-03635-02	Primary Tumor, Primary Tumor
a62d0219-c5fd-49b6-b16f-90dc02e455f5	89ee954a-adc3-49cb-87d5-c35d8d3782e6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-04853, C3L-04853	C3L-04853-01, C3L-04853-02	Primary Tumor, Primary Tumor
c81a2884-bd34-4b64-af20-0980034b7a6a	ace2ab70-8db9-409f-a507-42d46ce9613b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-04080	C3L-04080-06	Solid Tissue Normal
c2f40316-3471-4c19-a927-fdf51e0aea15	2891c2cf-652a-4aad-a6ea-d288ec651e4f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-04080, C3L-04080	C3L-04080-02, C3L-04080-03	Primary Tumor, Primary Tumor
c4b31f87-117f-4e16-9e4b-f7891312c804	8ece5ec1-88c8-4d50-942c-11be8ca9b8c9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-03839, C3N-03839, C3N-03839	C3N-03839-05, C3N-03839-02, C3N-03839-01	Primary Tumor, Primary Tumor, Primary Tumor
325168c2-26a0-4b6e-af39-6b8b5ca4bbcc	315a953e-2f0d-4676-ac65-d4868307604b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-03061, C3N-03061	C3N-03061-01, C3N-03061-02	Primary Tumor, Primary Tumor
506d7859-0365-4a18-9da1-7c45d45cc243	d097bf34-fa01-4b9c-8b71-e47effe7724e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-00518	C3N-00518-01	Primary Tumor
19510a28-2906-4aea-8a06-787256435354	bf94d06f-4b15-4595-9667-8c38870b93ba.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-01899	C3N-01899-03	Solid Tissue Normal
6decc5e6-19ac-40a9-aae7-15cf01e7615e	5bdd6a54-4026-4f41-b0db-871011abf77e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-02997	C3N-02997-01	Primary Tumor
cd15dcf3-fb8c-4c80-986b-ea2bd746e395	d460f111-7b35-4f12-a50e-40d88460ccbb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-03629	C3L-03629-02	Primary Tumor
51d36dd2-4824-481b-ba7f-e809b5c1e465	28d06754-1437-4388-bee4-30d44dfbf246.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-02768	C3N-02768-03	Solid Tissue Normal
44e443d7-96bf-409b-8428-d81f2bd4e39c	24b69855-2751-4571-885d-2da06dce24f5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-02768, C3N-02768	C3N-02768-02, C3N-02768-01	Primary Tumor, Primary Tumor
a9b360c8-2e0d-48b1-a5ea-2d559831f00e	ebd398cd-bd04-47bf-9386-d8ca50895cba.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-02956	C3L-02956-06	Solid Tissue Normal
81afae24-cbc5-42f7-a5f8-6a2d2c9d8aaa	a715622e-7524-4c9f-869b-e3e047eb337e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-03190, C3N-03190	C3N-03190-01, C3N-03190-02	Primary Tumor, Primary Tumor
58bef77a-243f-4178-a778-a3e39df1d1aa	65a6f888-dc93-43cd-8b3d-3aa5868976cb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-01167, C3N-01167	C3N-01167-01, C3N-01167-02	Primary Tumor, Primary Tumor
d0044f4f-81d4-49df-bb2b-4e57b0d1b859	1d421a09-7f5e-4637-abba-3e71148e45ba.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-01637	C3L-01637-06	Solid Tissue Normal
7e9ab022-e03a-47a0-a237-ccbba62a196d	b8a5ea19-6c72-47ed-9ebf-9774bc1196dc.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-00517	C3N-00517-01	Primary Tumor
8e965bd2-3cac-45b1-bac6-5db52b73f7ec	2d5e1bb8-04e7-4948-b224-f3c1e26f0c54.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-01385	C3N-01385-02	Primary Tumor
b034803a-63cf-4b0d-bb1d-15ea78b8124b	97fd1e0f-b859-495a-b598-8ca8c737788b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-01385	C3N-01385-05	Solid Tissue Normal
5f5620c9-0786-497e-96d2-df2948931716	a6cb7ee5-f6cc-4273-88ee-e828d009a9fe.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-01385	C3N-01385-02	Primary Tumor
0dc88eb5-7930-41df-9740-3fc55f71822a	e77c8936-fef6-4053-8477-05f4ee8bb9f2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-01382	C3N-01382-01	Primary Tumor
274b2655-ae32-419f-8494-6992d2a4a9fb	ff3a39f3-1244-475c-a094-9580d9d75fe0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-03639, C3L-03639, C3L-03639	C3L-03639-03, C3L-03639-02, C3L-03639-01	Primary Tumor, Primary Tumor, Primary Tumor
7421a44e-749d-41f7-bfea-95acda66686f	f656373b-3d4e-4b8d-8ba7-f224a802b559.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-02897	C3L-02897-01	Primary Tumor
3f0211a3-0d3f-4f39-8144-e812cd28aed8	c639e759-ca72-4522-94a4-9dc59acf120f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-03513	C3L-03513-01	Solid Tissue Normal
d9299e37-4873-4607-8aeb-bfbad3629f18	e5d89f91-87dc-4ab9-94a2-60fa6cb6d023.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-03086	C3N-03086-02	Primary Tumor
da10e3fb-357b-49a0-83da-893dc1f2b6b9	2cf79d6d-274a-4e2f-a163-df77b63f188c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-04283	C3N-04283-03	Primary Tumor
c91b1fa9-d343-439a-91d8-77439a3fdb00	647f72d1-f49b-47c3-998f-ba437f9bb8c7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-03356	C3L-03356-02	Primary Tumor
98052fb6-cda7-4b48-93c0-875500007046	1faa7190-7787-4b8e-ac42-28ae65cd346d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-04072	C3L-04072-06	Solid Tissue Normal
4f3b4b56-f9a8-4fef-9731-7b114d54c016	c2a3c84b-8b90-45c0-88b9-00cf3999e2b0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-00625, C3L-00625	C3L-00625-03, C3L-00625-02	Primary Tumor, Primary Tumor
ced04f73-4a3f-46cf-acb2-21aa93d0ed0c	5c75bab7-2a69-41c9-b11b-d5174c399ab7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-00622, C3L-00622	C3L-00622-01, C3L-00622-03	Primary Tumor, Primary Tumor
45f41404-61a5-43c0-8a1a-7fc6ff9518e4	16ee6454-8ab3-42f6-9576-e03215c4d70a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-00709	C3N-00709-01	Primary Tumor
6d7ebb2c-32c0-46d6-99c0-66b103cb8934	6d62ff2c-68bb-4ba1-981c-b2af6f962a5f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-01703, C3L-01703	C3L-01703-02, C3L-01703-03	Primary Tumor, Primary Tumor
9ed4db45-79c8-4e45-84ba-3029d7eb8216	b719127d-1579-4500-ae6c-2f87319fb0cf.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3L-01703	C3L-01703-04	Solid Tissue Normal
