sample,condition
C3L-00102-01,Control
C3L-00189-02,Control
C3L-00819-01,Control
C3L-01037-01,Control
C3L-01039-03-2,Control
C3L-01054-04,Control
C3L-01158-01,Control
C3L-01160-01,Control
C3L-01598-02,Control
C3L-01687-03,Control
C3L-01703-02,Control
C3L-01971-02,Control
C3L-02118-01,Control
C3L-02606-02,Control
C3L-02701-02,Control
C3L-02888-02,Control
C3L-02956-01-2,Control
C3L-03388-02,Control
C3L-04072-01,Control
C3L-04495-03,Control
C3L-04853-01,Control
C3N-00302-02,Control
C3N-00436-01,Control
C3N-00513-03,Control
C3N-01165-03,Control
C3N-01166-02,Control
C3N-01167-01,Control
C3N-01168-02,Control
C3N-01380-01,Control
C3N-01382-01,Control
C3N-01383-03,Control
C3N-01385-02,Control
C3N-01385-02-3,Control
C3N-01388-03,Control
C3N-01714-02,Control
C3N-01715-02,Control
C3N-01716-03,Control
C3N-01997-03,Control
C3N-01998-03,Control
C3N-02592-01,Control
C3N-02594-01,Control
C3N-02696-02,Control
C3N-02754-01-2,Control
C3N-02765-02,Control
C3N-02765-02-2,Control
C3N-02765-02-3,Control
C3N-03061-01,Control
C3N-03069-01,Control
C3N-03190-01,Control
C3N-03428-02,Control
C3N-03666-01,Control
C3N-03853-02,Control
C3N-04283-03,Control
C3N-04284-01,Control
C3L-00401-02,Treatment
C3L-00625-03,Treatment
C3L-01036-01,Treatment
C3L-02890-02,Treatment
C3L-02899-01,Treatment
C3L-02956-01,Treatment
C3L-03348-03,Treatment
C3L-03348-03-2,Treatment
C3L-03394-03,Treatment
C3L-04848-03,Treatment
C3N-00249-03,Treatment
C3N-00516-02,Treatment
C3N-01719-04,Treatment
C3N-01899-02,Treatment
C3N-01899-02-2,Treatment
C3N-01899-02-3,Treatment
C3N-02590-01,Treatment
C3N-02754-01,Treatment
C3N-02754-01-3,Treatment
C3N-03211-02,Treatment
C3N-03426-01,Treatment
C3N-03430-02,Treatment
C3N-03754-01,Treatment
C3N-03780-01,Treatment
C3N-03884-01,Treatment
C3N-04282-01,Treatment
